name,affiliation,department,gold_email,gold_website
Walter Willinger,Princeton University,Computer Science,,
Uri Hasson,Princeton University,Neuroscience,,
A. Cemal Eringen,Princeton University,Materials Science,,
Jonathan M. Levine,Princeton University,Environmental Science,,
Paul Seymour,Princeton University,Computer Science,,
Susan J. Little,Princeton University,Immunology and Microbiology,,
P. Piroué,Princeton University,Physics and Astronomy,,
N. A. Schwadron,Princeton University,Physics and Astronomy,,
Jie Liu,Princeton University,Environmental Science,,
Denise L. Mauzerall,Princeton University,Earth and Planetary Sciences,,
T. C. Onstott,Princeton University,Environmental Science,,
P. J. E. Peebles,Princeton University,Physics and Astronomy,,
Philip D. Jeffrey,Princeton University,Materials Science,,
Christopher A. Sims,Princeton University,"Economics, Econometrics and Finance",,
F. D. M. Haldane,Princeton University,Physics and Astronomy,,
D. J. Thouless,Princeton University,Physics and Astronomy,,
Quan Dong Nguyen,Princeton University,Medicine,,
A. W. Jung,Princeton University,Physics and Astronomy,,
Bruce E. Koel,Princeton University,Materials Science,,
Orley Ashenfelter,Princeton University,"Economics, Econometrics and Finance",,
John A. Rumberger,Princeton University,Medicine,,
Kenneth A. Norman,Princeton University,Neuroscience,,
Paul Schedl,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Szymon Rusinkiewicz,Princeton University,Computer Science,,
R. M. Maxwell,Princeton University,Environmental Science,,
Sharad Malik,Princeton University,Computer Science,,
Bernard Chazelle,Princeton University,Computer Science,,
Ileana M. Cristea,Princeton University,Medicine,,
R. B. White,Princeton University,Physics and Astronomy,,
C. Jessica E. Metcalf,Princeton University,Mathematics,,
J. Pivarski,Princeton University,Physics and Astronomy,,
Yueh‐Lin Loo,Princeton University,Engineering,,
M. F. SEMMELHACK,Princeton University,Chemistry,,
Marc Fellous,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
N. J. Fisch,Princeton University,Physics and Astronomy,,
R. Maingi,Princeton University,Physics and Astronomy,,
Richard A. Register,Princeton University,Materials Science,,
Naomi Ehrich Leonard,Princeton University,Computer Science,,
T. S. Duffy,Princeton University,Earth and Planetary Sciences,,
R. E. Waltz,Princeton University,Physics and Astronomy,,
Gary C. Smith,Princeton University,Agricultural and Biological Sciences,,
Sankaran Sundaresan,Princeton University,Engineering,,
David S. Wilcove,Princeton University,Environmental Science,,
John M. Darley,Princeton University,Neuroscience,,
I. Ojalvo,Princeton University,Physics and Astronomy,,
Jean E. Schwarzbauer,Princeton University,Medicine,,
B. Rosemary Grant,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Noreen Goldman,Princeton University,Social Sciences,,
Shinsei Ryu,Princeton University,Physics and Astronomy,,
Curtis G. Callan,Princeton University,Physics and Astronomy,,
S. Wagner,Princeton University,Engineering,,
G. Á. Bakos,Princeton University,Physics and Astronomy,,
Eve C. Ostriker,Princeton University,Physics and Astronomy,,
L. Gutay,Princeton University,Physics and Astronomy,,
J. S. Werner,Princeton University,Physics and Astronomy,,
Steven S. Gubser,Princeton University,Physics and Astronomy,,
M. Yamamoto,Princeton University,Physics and Astronomy,,
James C. Sturm,Princeton University,Engineering,,
Blair Schoene,Princeton University,Earth and Planetary Sciences,,
Ali Yazdani,Princeton University,Physics and Astronomy,,
Peter Constantin,Princeton University,Mathematics,,
C.S. Cheung,Princeton University,Chemical Engineering,,
Elie Bou‐Zeid,Princeton University,Earth and Planetary Sciences,,
Paul J. Reider,Princeton University,Chemistry,,
J. Hardenbrook,Princeton University,Physics and Astronomy,,
M. Chertok,Princeton University,Physics and Astronomy,,
Yaojun Zhang,Princeton University,Medicine,,
F. Wang,Princeton University,Physics and Astronomy,,
J. Olsen,Princeton University,Physics and Astronomy,,
Andrew B. Bocarsly,Princeton University,Energy,,
Robert M. Pringle,Princeton University,Environmental Science,,
Adele Ε. Goldberg,Princeton University,Arts and Humanities,,
S. Biscoveanu,Princeton University,Physics and Astronomy,,
Paul R. Prucnal,Princeton University,Engineering,,
Michael Walzer,Princeton University,Social Sciences,,
Gilbert Harman,Princeton University,Arts and Humanities,,
Charles F. Westoff,Princeton University,Social Sciences,,
Edgar T. Overton,Princeton University,Medicine,,
Wendy Heller,Princeton University,Neuroscience,,
Yin-Zhe Ma,Princeton University,Physics and Astronomy,,
Kathleen A. Kennedy,Princeton University,Medicine,,
Peter Sarnak,Princeton University,Mathematics,,
J. Hardenbrook,Princeton University,Physics and Astronomy,,
Janós Kollár,Princeton University,Mathematics,,
R. Chawla,Princeton University,Physics and Astronomy,,
S. Higginbotham,Princeton University,Physics and Astronomy,,
Marta Tienda,Princeton University,Social Sciences,,
Curtis Deutsch,Princeton University,Earth and Planetary Sciences,,
Ryan P. Adams,Princeton University,Computer Science,,
S. George Philander,Princeton University,Earth and Planetary Sciences,,
Adam Finkelstein,Princeton University,Computer Science,,
Arvind Narayanan,Princeton University,Social Sciences,,
Asif A. Ghazanfar,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Craig B. Arnold,Princeton University,Engineering,,
C. Galbiati,Princeton University,Physics and Astronomy,,
A. J. S. Smith,Princeton University,Physics and Astronomy,,
Michael Aizenman,Princeton University,Physics and Astronomy,,
A. Frankenthal,Princeton University,Physics and Astronomy,,
Andrew W. Appel,Princeton University,Computer Science,,
Bas C. van Fraassen,Princeton University,Arts and Humanities,,
Mohammad R. Seyedsayamdost,Princeton University,Medicine,,
D. A. Saville,Princeton University,Chemistry,,
Michael S. A. Graziano,Princeton University,Neuroscience,,
Michael J. Freedman,Princeton University,Computer Science,,
John T. Sheridan,Princeton University,Engineering,,
Aldo Ianni,Princeton University,Physics and Astronomy,,
Ashoka Mody,Princeton University,"Economics, Econometrics and Finance",,
Kurt Mislow,Princeton University,Chemistry,,
Daniel A. Notterman,Princeton University,Medicine,,
Stanislav Y. Shvartsman,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Ian W. Davies,Princeton University,Chemistry,,
Michael J. Berry,Princeton University,Neuroscience,,
Lee M. Silver,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
George McLendon,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
David Walker,Princeton University,Computer Science,,
Leland C. Allen,Princeton University,Physics and Astronomy,,
C. Waters,Princeton University,Physics and Astronomy,,
E. Mazzucato,Princeton University,Physics and Astronomy,,
Z. G. Soos,Princeton University,Materials Science,,
Chao‐Xing Liu,Princeton University,Physics and Astronomy,,
Ning Lin,Princeton University,Earth and Planetary Sciences,,
Erik J. Sorensen,Princeton University,Chemistry,,
Zemer Gitai,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
A. Kalogeropoulos,Princeton University,Physics and Astronomy,,
G. Navarra,Princeton University,Physics and Astronomy,,
R.J. Goldston,Princeton University,Physics and Astronomy,,
Clarence W. Rowley,Princeton University,Engineering,,
Robert C. N. Pilawa-Podgurski,Princeton University,Engineering,,
Charles Fefferman,Princeton University,Mathematics,,
J. D. Hartman,Princeton University,Physics and Astronomy,,
A. V. Telnov,Princeton University,Physics and Astronomy,,
Joshua W. Shaevitz,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
John A. Higgins,Princeton University,Earth and Planetary Sciences,,
I. Razumov,Princeton University,Physics and Astronomy,,
M. Joyce,Princeton University,Physics and Astronomy,,
Frans Pretorius,Princeton University,Physics and Astronomy,,
Atif Mian,Princeton University,"Economics, Econometrics and Finance",,
P. Piroué,Princeton University,Physics and Astronomy,,
Agustín Fuentes,Princeton University,Psychology,,
Sarang Gopalakrishnan,Princeton University,Physics and Astronomy,,
Harvey S. Rosen,Princeton University,"Economics, Econometrics and Finance",,
Joseph E. Subotnik,Princeton University,Physics and Astronomy,,
Goro Shimura,Princeton University,Mathematics,,
Mark A. Zondlo,Princeton University,Environmental Science,,
Per Krusell,Princeton University,"Economics, Econometrics and Finance",,
Elias M. Stein,Princeton University,Mathematics,,
Larry Ereshefsky,Princeton University,Medicine,,
Coleen T. Murphy,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
S. A. Lyon,Princeton University,Physics and Astronomy,,
Pramod Viswanath,Princeton University,Computer Science,,
G. Livadiotis,Princeton University,Physics and Astronomy,,
H. Meté Soner,Princeton University,"Economics, Econometrics and Finance",,
Clark T.‐C. Nguyen,Princeton University,Engineering,,
Eldar Shafir,Princeton University,Decision Sciences,,
Sergiù Klainerman,Princeton University,Mathematics,,
C. W. Gear,Princeton University,Mathematics,,
Hantao Ji,Princeton University,Physics and Astronomy,,
Yevgeny Raitses,Princeton University,Engineering,,
K. Mei,Princeton University,Physics and Astronomy,,
P.A. Piroué,Princeton University,Physics and Astronomy,,
Anu Ramaswami,Princeton University,Environmental Science,,
Jonathan W. Pillow,Princeton University,Neuroscience,,
Daniel I. Rubenstein,Princeton University,Environmental Science,,
Elad Hazan,Princeton University,Decision Sciences,,
Menghe Miao,Princeton University,Materials Science,,
Kristina R. Olson,Princeton University,Psychology,,
Mikhail N. Shneider,Princeton University,Engineering,,
N. Danielson,Princeton University,Physics and Astronomy,,
Laure Resplandy,Princeton University,Earth and Planetary Sciences,,
R. H. Dicke,Princeton University,Physics and Astronomy,,
Seok Ju Kang,Princeton University,Engineering,,
Michael Romalis,Princeton University,Physics and Astronomy,,
A. Amon,Princeton University,Physics and Astronomy,,
Radhika Nagpal,Princeton University,Engineering,,
P. C. Efthimion,Princeton University,Physics and Astronomy,,
Loretta J. Mester,Princeton University,"Economics, Econometrics and Finance",,
Lin Chen,Princeton University,Agricultural and Biological Sciences,,
K. W. Baldwin,Princeton University,Physics and Astronomy,,
M. Okabayashi,Princeton University,Physics and Astronomy,,
Nancy E. Reichman,Princeton University,Social Sciences,,
Eric D. Larson,Princeton University,Engineering,,
G. Paspalaki,Princeton University,Physics and Astronomy,,
Assaf Naor,Princeton University,Computer Science,,
Ran Raz,Princeton University,Computer Science,,
Irvin Glassman,Princeton University,Engineering,,
Burton G. Malkiel,Princeton University,"Economics, Econometrics and Finance",,
A. Goretti,Princeton University,Physics and Astronomy,,
David I. August,Princeton University,Computer Science,,
Zhi‐Hua Wang,Princeton University,Environmental Science,,
Robert R. Knowles,Princeton University,Chemistry,,
Pascaline Dupas,Princeton University,Social Sciences,,
Kirk T. McDonald,Princeton University,Physics and Astronomy,,
A. Kunin,Princeton University,Physics and Astronomy,,
Srimat Chakradhar,Princeton University,Computer Science,,
N. V. Sarlis,Princeton University,Earth and Planetary Sciences,,
S. Fueglistaler,Princeton University,Environmental Science,,
Anatoly Spitkovsky,Princeton University,Physics and Astronomy,,
Felix Heide,Princeton University,Physics and Astronomy,,
Alistair Adcroft,Princeton University,Earth and Planetary Sciences,,
Adam C. Maloof,Princeton University,Earth and Planetary Sciences,,
Joseph Kaplan,Princeton University,Immunology and Microbiology,,
Peter Singer,Princeton University,Health Professions,,
Namkon Lee,Princeton University,Engineering,,
Giuseppe D’Alessio,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Peter J. Ramadge,Princeton University,Computer Science,,
Kelsey B. Hatzell,Princeton University,Engineering,,
Leslie M. Schoop,Princeton University,Physics and Astronomy,,
Nicholas M. Katz,Princeton University,Mathematics,,
Matteo Cantiello,Princeton University,Physics and Astronomy,,
András Bödi,Princeton University,Physics and Astronomy,,
Alejandro W. Rodríguez,Princeton University,Engineering,,
V. Miftakov,Princeton University,Physics and Astronomy,,
Yiyi Li,Princeton University,Engineering,,
Catherine A. Peters,Princeton University,Environmental Science,,
Allan M. Rubin,Princeton University,Earth and Planetary Sciences,,
Shasha Tao,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
G. Paspalaki,Princeton University,Physics and Astronomy,,
Jason D. Lee,Princeton University,Computer Science,,
Xuefeng Ding,Princeton University,Physics and Astronomy,,
Gregory C. Chow,Princeton University,"Economics, Econometrics and Finance",,
Rodney D. Priestley,Princeton University,Materials Science,,
Larry Alphs,Princeton University,Medicine,,
L.J. Gutay,Princeton University,Physics and Astronomy,,
Alastair Stacey,Princeton University,Materials Science,,
Paul Deane,Princeton University,Engineering,,
J. R. Szalay,Princeton University,Physics and Astronomy,,
Branko Glišić,Princeton University,Engineering,,
Gerard Wysocki,Princeton University,Chemistry,,
G. Dezoort,Princeton University,Physics and Astronomy,,
Andy D. Goulding,Princeton University,Physics and Astronomy,,
Douglas M. Ho,Princeton University,Medicine,,
R.J. Hawryluk,Princeton University,Physics and Astronomy,,
Li Chen,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
H. P. Furth,Princeton University,Physics and Astronomy,,
Sarah J. Mitchell,Princeton University,Medicine,,
D. C. Tsui,Princeton University,Physics and Astronomy,,
Kyle Jamieson,Princeton University,Computer Science,,
Mark Aguiar,Princeton University,"Economics, Econometrics and Finance",,
David Stickland,Princeton University,Physics and Astronomy,,
D.L. Sivco,Princeton University,Chemistry,,
Tania Lombrozo,Princeton University,Neuroscience,,
Chin Pan,Princeton University,Engineering,,
Andrew Houck,Princeton University,Computer Science,,
Nicolas Louka,Princeton University,Medicine,,
Paul Yang,Princeton University,Mathematics,,
Ian C. Bourg,Princeton University,Engineering,,
Nolan McCarty,Princeton University,Social Sciences,,
K. Steiglitz,Princeton University,Computer Science,,
Biao Lian,Princeton University,Physics and Astronomy,,
Mariangela Lisanti,Princeton University,Physics and Astronomy,,
N. Jeremy Kasdin,Princeton University,Physics and Astronomy,,
Ken West,Princeton University,Physics and Astronomy,,
Peter Henderson,Princeton University,Computer Science,,
K. E. Kennedy,Princeton University,Physics and Astronomy,,
Naveen Verma,Princeton University,Engineering,,
Subhash Shah,Princeton University,Engineering,,
Mark Braverman,Princeton University,Computer Science,,
Elizabeth Ellis,Princeton University,Social Sciences,,
Guangming Cheng,Princeton University,Physics and Astronomy,,
William S. Wong,Princeton University,Engineering,,
Ayşegül Şahin,Princeton University,"Economics, Econometrics and Finance",,
D. McCune,Princeton University,Physics and Astronomy,,
Bridgett M. vonHoldt,Princeton University,Environmental Science,,
B. A. Pethica,Princeton University,Physics and Astronomy,,
M. S. Chance,Princeton University,Physics and Astronomy,,
Julian Gold,Princeton University,Medicine,,
Ziyang Chen,Princeton University,Physics and Astronomy,,
Minjie Chen,Princeton University,Engineering,,
Ruidan Zhong,Princeton University,Physics and Astronomy,,
Seema Jayachandran,Princeton University,Social Sciences,,
Ting Wang,Princeton University,Engineering,,
E. J. Valeo,Princeton University,Physics and Astronomy,,
John M. Mulvey,Princeton University,Decision Sciences,,
S. Wynhoff,Princeton University,Physics and Astronomy,,
Haw Yang,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Benjamin Lev,Princeton University,Physics and Astronomy,,
William M. J. Green,Princeton University,Engineering,,
N. Pablant,Princeton University,Physics and Astronomy,,
Jacob N. Shapiro,Princeton University,Social Sciences,,
Herbert G. Tanner,Princeton University,Computer Science,,
Matias D. Cattaneo,Princeton University,Mathematics,,
Wenchang Yang,Princeton University,Environmental Science,,
Mark E. McGovern,Princeton University,Medicine,,
Michael A. Webb,Princeton University,Materials Science,,
Brent D. Shaw,Princeton University,Social Sciences,,
Brian Paul Padley,Princeton University,Physics and Astronomy,,
N. Haubrich,Princeton University,Physics and Astronomy,,
Shuji Murakami,Princeton University,Medicine,,
Xu Xu,Princeton University,Medicine,,
S. Das,Princeton University,Physics and Astronomy,,
Frederik J. Simons,Princeton University,Earth and Planetary Sciences,,
Marcus Hultmark,Princeton University,Engineering,,
Jie Hu,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Jesse Jenkins,Princeton University,Engineering,,
E. J. Zirnstein,Princeton University,Physics and Astronomy,,
Leah Platt Boustan,Princeton University,Social Sciences,,
Lukas J. Furtak,Princeton University,Physics and Astronomy,,
Nathalie P. de Leon,Princeton University,Materials Science,,
S.C. Schwartz,Princeton University,Computer Science,,
W. Fox,Princeton University,Physics and Astronomy,,
S. Kwan,Princeton University,Physics and Astronomy,,
Arthur Dogariu,Princeton University,Chemistry,,
Gilberto Castañeda‐Hernández,Princeton University,Medicine,,
Kaushik Sengupta,Princeton University,Engineering,,
Robert L. Kosut,Princeton University,Engineering,,
David A. Sclar,Princeton University,"Economics, Econometrics and Finance",,
Peter Singer,Princeton University,Health Professions,,
Richard Peng,Princeton University,Computer Science,,
Philippe Voyer,Princeton University,Medicine,,
Yan Xu,Princeton University,"Business, Management and Accounting",,
Ying‐Chih Lin,Princeton University,Chemistry,,
Jason W. Fleischer,Princeton University,Physics and Astronomy,,
Selene G. Parekh,Princeton University,Medicine,,
Yu-Xiang Zheng,Princeton University,Materials Science,,
Daniel Gärber,Princeton University,Arts and Humanities,,
Robert Muggah,Princeton University,Social Sciences,,
Hyuk Jae Kwon,Princeton University,Engineering,,
Andrew M. Guess,Princeton University,Social Sciences,,
Yue-Kai Huang,Princeton University,Engineering,,
David V. Bowen,Princeton University,Physics and Astronomy,,
David P. Billington,Princeton University,Engineering,,
Michael Robbins,Princeton University,Medicine,,
Natalie Zemon Davis,Princeton University,Arts and Humanities,,
Swati Kulkarni,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Kiersten Wise,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Brandon Stewart,Princeton University,Computer Science,,
William K. Gregory,Princeton University,Earth and Planetary Sciences,,
Weiliang Jin,Princeton University,Engineering,,
John A. Krommes,Princeton University,Physics and Astronomy,,
Ronnie Sircar,Princeton University,"Economics, Econometrics and Finance",,
G.H. Olsen,Princeton University,Physics and Astronomy,,
Maria Garlock,Princeton University,Engineering,,
Casey Lew‐Williams,Princeton University,Psychology,,
A. Loeliger,Princeton University,Physics and Astronomy,,
E. Fredrickson,Princeton University,Physics and Astronomy,,
A. Lê,Princeton University,Physics and Astronomy,,
Scott Lee,Princeton University,Computer Science,,
Luc Deike,Princeton University,Earth and Planetary Sciences,,
Andrés Monroy‐Hernández,Princeton University,Computer Science,,
Nicholas J. Scott,Princeton University,Physics and Astronomy,,
Sheng Fang,Princeton University,Agricultural and Biological Sciences,,
Maria Chudnovsky,Princeton University,Computer Science,,
Aref Jeribi,Princeton University,Mathematics,,
Jing‐Yun Wu,Princeton University,Materials Science,,
Richard Ashby Wilson,Princeton University,Social Sciences,,
M. Bitter,Princeton University,Physics and Astronomy,,
István Pelczer,Princeton University,"Biochemistry, Genetics and Molecular Biology",,
Su-Jin Lee,Princeton University,Engineering,,
Ethan B. Kapstein,Princeton University,Social Sciences,,
Kim Lane Scheppele,Princeton University,Social Sciences,,
Pengcheng Chen,Princeton University,Materials Science,,
Andrew Rosen,Princeton University,Materials Science,,
Atul Kohli,Princeton University,"Economics, Econometrics and Finance",,
Ping Wang,Princeton University,Engineering,,
G. Falmagne,Princeton University,Physics and Astronomy,,
Qiming Hu,Princeton University,Physics and Astronomy,,
Kakuji Tojo,Princeton University,"Pharmacology, Toxicology and Pharmaceutics",,
Daniel J. Cohen,Princeton University,Engineering,,
A. Órtiz de Solórzano,Princeton University,Physics and Astronomy,,
Jonathan Cohen,Princeton University,Computer Science,,
D.Z. Garbuzov,Princeton University,Engineering,,
Di Li,Princeton University,Engineering,,
Frank von Hippel,Princeton University,Engineering,,
S. R. Smith,Princeton University,Physics and Astronomy,,
G. Köpp,Princeton University,Physics and Astronomy,,
Monica Saumoy,Princeton University,Medicine,,
Jan‐Werner Müller,Princeton University,Social Sciences,,
Simon Gikandi,Princeton University,Arts and Humanities,,
S. Matthew Weinberg,Princeton University,Decision Sciences,,
Roshan M. Patel,Princeton University,Medicine,,
Sigrid Adriaenssens,Princeton University,Engineering,,
A. Rosen,Princeton University,Engineering,,
Eleanor Mitchell,Princeton University,Social Sciences,,
Judith Milhous,Princeton University,Arts and Humanities,,
Amandeep Kaur,Princeton University,Physics and Astronomy,,
Tea Temim,Princeton University,Physics and Astronomy,,
Zoltán Szabó,Princeton University,Engineering,,
P. Fackeldey,Princeton University,Physics and Astronomy,,
